defName	label_en	slots	mealKind	contraintes
FlavorText_Lapsi	lapsi	0=Grain 1=Milk 2=Nut/Fruit	MealsDessert,MealsNoodle	
FlavorText_FrogInThePond	frog in the pond	0=Chocolate 1=AnimalProductRaw	MealsDessert,MealsSnack	
FlavorText_Fruit_Newtons	{0_adj} Newtons	0=Fruit 1=Grain	MealsDessert,MealsSnack	
FlavorText_Twinkies	Twinkies	0=Grain 1=Dairy 2=Sugar	MealsDessert,MealsSnack	
FlavorText_Ingredients_Fondue	{0_adj} fondue	0=Ingredients 1=Dairy 2=Fruit	MealsDessert,MealsSoup	
FlavorText_TapiocaPudding	tapioca pudding	0=Milk 1=Cassava 2=Sugar	MealsDessert,MealsSoup	
FlavorText_Marzipan	marzipan	0=Almond/Grain 1=Sugar	MealsDessert	
FlavorText_AnimalProductRaw_Junket	{0_adj} junket	0=AnimalProductRaw 1=Dairy 2=Sugar	MealsDessert	
FlavorText_AnimalProductRaw_PowerBar	{0_adj} power bar	0=AnimalProductRaw 1=Fruit	MealsDessert	
FlavorText_Potato_Pancakes	{1_adj} pancakes	0=AnimalProductRaw 1=Potato	MealsDessert	
FlavorText_Preserved_AnimalProductRaw	preserved {0_coll}	0=AnimalProductRaw 1=Sugar	MealsDessert	
FlavorText_TarteTatin	tarte tatin	0=Apple 1=Dairy 2=Sugar	MealsDessert	
FlavorText_BananaSplit	banana split	0=Banana 1=Dairy 2=Sugar	MealsDessert	
FlavorText_PlatanosEnMole	plátanos en mole	0=Banana 1=Chocolate 2=Tomato/Chili	MealsDessert	
FlavorText_Tostones	tostones	0=Banana	MealsDessert	
FlavorText_SagoPudding	sago pudding	0=Cassava 1=Sugar 2=Coconut	MealsDessert	
FlavorText_NanaimoBars	nanaimo bars	0=Chocolate 1=Dairy 2=Nut/Grain	MealsDessert	
FlavorText_Citrus_Marmalade	{0_adj} marmalade	0=Citrus	MealsDessert	
FlavorText_Halo-Halo	halo-halo	0=Coconut/Dairy 1=Fruit/Bean/Yam/Rice 2=Fruit/Bean/Yam/Rice	MealsDessert	
FlavorText_Affogato	affogato	0=Coffee 1=Dairy	MealsDessert	
FlavorText_Dairy_Pavlova	{0_adj} pavlova	0=Dairy 1=Egg 2=Fruit	MealsDessert	
FlavorText_Fruit_Yogurt	{1_adj} yogurt	0=Dairy 1=Fruit	MealsDessert	
FlavorText_Fruit_Gelato	{2_adj} gelato	0=Dairy 1=Sugar 2=Fruit	MealsDessert	
