defName	label_en	slots	mealKind	contraintes
FlavorText_Afang	afang	0=LeafyVeg 1=MeatRaw 2=Coconut	MealsSoup	
FlavorText_GhormehSabzi	ghormeh sabzi	0=LeafyVeg 1=MeatRaw 2=Bean	MealsSoup	
FlavorText_Luau	lū'au	0=LeafyVeg 1=Coconut 2=Vegetable/MeatRaw	MealsSoup	
FlavorText_Luau_2	lū'au	0=LeafyVeg 1=Meat_Cow/Meat_Pig	MealsSoup	
FlavorText_ChanaSaag	chana saag	0=LeafyVeg/Broccoli 1=Chickpea	MealsSoup	
FlavorText_Saag	saag	0=LeafyVeg/Broccoli	MealsSoup	
FlavorText_DalTadka	dal tadka	0=Lentil 1=Spice	MealsSoup	
FlavorText_Chairo	chairo	0=Meat_Cow 1=PlantFoodRaw 2=Toxipotato	MealsSoup	
FlavorText_Gomguk	gomguk	0=Meat_Cow	MealsSoup	
FlavorText_Hulatang	hulatang	0=Meat_Cow 1=Spice	MealsSoup	
FlavorText_RawonSoup	rawon soup	0=Meat_Cow 1=Nut	MealsSoup	
FlavorText_Flemish_Plum_Stew	Flemish {1_adj} stew	0=Meat_Cow/Meat_Pig 1=Plum 2=Onion	MealsSoup	
FlavorText_FlemishStew	Flemish stew	0=Meat_Cow/Meat_Pig 1=Grain 2=Onion	MealsSoup	
FlavorText_Nilaga	nilaga	0=Meat_Cow/Meat_Pig 1=Meat_Seafood 2=Vegetable/Corn	MealsSoup	
FlavorText_Pepperpot	pepperpot	0=Meat_Cow/Meat_Pig/Meat_Mutton 1=Cassava 2=Chili	MealsSoup	
FlavorText_Meat_Fish_Amok	{0_adj} amok	0=Meat_Fish 1=Egg 2=Coconut	MealsSoup	
FlavorText_BalikCorbasi	balık çorbası	0=Meat_Fish 1=Meat_Seafood	MealsSoup	
FlavorText_Brudet	brudet	0=Meat_Fish 1=Meat_Shellfish 2=Tomato	MealsSoup	
